protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,3,0.7943282347242815,397,245,0.49,0.003056717652757075,0.5034990742854778,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,4,0.7943282347242815,397,276,0.552,0.003056717652757075,0.5672071204195587,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,5,0.7943282347242815,397,239,0.478,0.003056717652757075,0.4911684847111395,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,6,0.7943282347242815,397,257,0.514,0.003056717652757075,0.5281602534341543,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,7,0.7943282347242815,397,254,0.508,0.003056717652757075,0.5219949586469852,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,8,0.7943282347242815,397,278,0.556,0.003056717652757075,0.5713173169443381,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.0,9,0.7943282347242815,397,246,0.492,0.003056717652757075,0.5055541725478675,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,0,0.7943282347242815,397,257,0.514,0.0033067176527570474,0.5255817672538867,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,1,0.7943282347242815,397,231,0.462,0.0033067176527570474,0.4724100709558282,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,2,0.7943282347242815,397,262,0.524,0.0033067176527570474,0.5358070934650518,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,3,0.7943282347242815,397,241,0.482,0.0033067176527570474,0.4928607233781584,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,4,0.7943282347242815,397,267,0.534,0.0033067176527570474,0.5460324196762171,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,5,0.7943282347242815,397,263,0.526,0.0033067176527570474,0.537852158707285,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,6,0.7943282347242815,397,237,0.474,0.0033067176527570474,0.48468046240922624,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,7,0.7943282347242815,397,257,0.514,0.0033067176527570474,0.5255817672538867,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,8,0.7943282347242815,397,261,0.522,0.0033067176527570474,0.5337620282228188,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,5,2.5,9,0.7943282347242815,397,255,0.51,0.0033067176527570474,0.5214916367694207,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,0,0.6309573444801932,315,258,0.516,0.004190426555198013,0.5187354738759758,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,1,0.6309573444801932,315,235,0.47,0.004190426555198013,0.47249161380176086,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,2,0.6309573444801932,315,267,0.534,0.004190426555198013,0.5368308973832773,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,3,0.6309573444801932,315,260,0.52,0.004190426555198013,0.5227566790998206,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,4,0.6309573444801932,315,269,0.538,0.004190426555198013,0.540852102607122,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,5,0.6309573444801932,315,263,0.526,0.004190426555198013,0.5287884869355878,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,6,0.6309573444801932,315,269,0.538,0.004190426555198013,0.540852102607122,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,7,0.6309573444801932,315,233,0.466,0.004190426555198013,0.46847040857791616,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,8,0.6309573444801932,315,257,0.514,0.004190426555198013,0.5167248712640534,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.0,9,0.6309573444801932,315,241,0.482,0.004190426555198013,0.4845552294732952,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.2,0,0.6309573444801932,315,248,0.496,0.004290426555198002,0.497684138421093,0.9995,0.987,10000,1000
Decoy-BB84,ionq_aria,trapped_ion,10,1.2,1,0.6309573444801932,315,261,0.522,0.004290426555198002,0.5237724198705858,0.9995,0.987,10000,1000
