protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2
Six-State,ionq_aria,trapped_ion,5,2.0,7,0.7943282347242815,397,184,0.368,0.11416782876386818,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.0,8,0.7943282347242815,397,174,0.348,0.17952730588805121,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.0,9,0.7943282347242815,397,163,0.326,0.12805671765275708,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,0,0.7943282347242815,397,168,0.336,0.31580671765275703,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,1,0.7943282347242815,397,175,0.35,0.12095377647628645,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,2,0.7943282347242815,397,151,0.302,0.2699733843194237,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,3,0.7943282347242815,397,163,0.326,0.0033067176527570474,0.30304148589452967,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,4,0.7943282347242815,397,185,0.37,0.11441782876386815,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,5,0.7943282347242815,397,170,0.34,0.1797773058880512,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,6,0.7943282347242815,397,168,0.336,0.19080671765275706,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,7,0.7943282347242815,397,161,0.322,0.0033067176527570474,0.29932318545410597,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,8,0.7943282347242815,397,163,0.326,0.06580671765275704,0.07492506518521255,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,5,2.5,9,0.7943282347242815,397,169,0.338,0.12830671765275706,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,0,0.6309573444801932,315,159,0.318,0.20419042655519803,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,1,0.6309573444801932,315,137,0.274,0.08111350347827494,0.029208593700326652,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,2,0.6309573444801932,315,170,0.34,0.29830807361402156,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,3,0.6309573444801932,315,179,0.358,0.29830807361402156,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,4,0.6309573444801932,315,164,0.328,0.316690426555198,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,5,0.6309573444801932,315,175,0.35,0.18066101479049215,0.0,0.9995,0.987,10000,1000
Six-State,ionq_aria,trapped_ion,10,1.0,6,0.6309573444801932,315,172,0.344,0.29830807361402156,0.0,0.9995,0.987,10000,1000
