protocol,platform,platform_type,distance_km,noise_factor,run,transmission,effective_qubits,sifted_length,raw_key_rate,qber,secure_key_rate,single_qubit_fidelity,two_qubit_fidelity,T1,T2,num_bases_used,bell_parameter,entanglement_verified,decoy_qber,attack_detected
AB-QKD,ionq_aria,trapped_ion,5,2.0,2,0.7943282347242815,397,97,0.194,0.11416782876386818,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,3,0.7943282347242815,397,91,0.182,0.2252789398749793,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,4,0.7943282347242815,397,71,0.142,0.4316281462241856,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,5,0.7943282347242815,397,74,0.148,0.14591386050989993,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,6,0.7943282347242815,397,79,0.158,0.14591386050989993,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,7,0.7943282347242815,397,71,0.142,0.28877100336704276,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,8,0.7943282347242815,397,85,0.17,0.37805671765275706,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.0,9,0.7943282347242815,397,76,0.152,0.28877100336704276,0.0,0.9995,0.987,10000,1000,6.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,0,0.7943282347242815,397,161,0.322,0.06580671765275704,0.07400573923201975,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,1,0.7943282347242815,397,154,0.308,0.1366400509860904,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,2,0.7943282347242815,397,168,0.336,0.12830671765275706,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,3,0.7943282347242815,397,157,0.314,0.06997338431942371,0.0612885607459514,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,4,0.7943282347242815,397,182,0.364,0.2810844954305348,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,5,0.7943282347242815,397,164,0.328,0.25330671765275703,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,6,0.7943282347242815,397,180,0.36,0.11441782876386815,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,7,0.7943282347242815,397,168,0.336,0.12830671765275706,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,8,0.7943282347242815,397,195,0.39,0.1612014544948623,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,5,2.5,9,0.7943282347242815,397,171,0.342,0.29742436471158057,0.0,0.9995,0.987,10000,1000,3.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,0,0.6309573444801932,315,127,0.254,0.254190426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,1,0.6309573444801932,315,140,0.28,0.14704756941234087,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,2,0.6309573444801932,315,143,0.286,0.2184761408409123,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,3,0.6309573444801932,315,106,0.212,0.20419042655519803,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,4,0.6309573444801932,315,126,0.252,0.4208570932218647,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,5,0.6309573444801932,315,129,0.258,0.254190426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,6,0.6309573444801932,315,121,0.242,0.17085709322186468,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,7,0.6309573444801932,315,117,0.234,0.27691769928247073,0.0,0.9995,0.987,10000,1000,4.0,,,,
AB-QKD,ionq_aria,trapped_ion,10,1.0,8,0.6309573444801932,315,126,0.252,0.254190426555198,0.0,0.9995,0.987,10000,1000,4.0,,,,
